fact,explanation,gen_time
"[2, 0, 19, 0, 30, 12, 1, 0, 13, 7, 30, 8, 0, 0, 8, 1, 30, 2, 11, 0, 13, 1, 30, 8, 5, 0, 13, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 599]","[1, 1, 10, 9, 12, 4, 3, 0, 5, 1, 10, 0, 0, 0, 2, 0, 11, 7, 4, 0, 22, 1, 10, 4, 10, 0, 7, 2, 5, 2, 9, 1, 4, 0, 0, 0, 1, 245]",0.008011102676391602
"[2, 0, 33, 2, 30, 11, 0, 0, 11, 3, 30, 10, 0, 0, 10, 0, 30, 4, 7, 0, 11, 3, 30, 10, 1, 0, 11, 0, 30, 2, 6, 0, 8, 1, -3, 0, 1, 1019]","[1, 0, 9, 8, 2, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 22, 1, 0, 0, 20, 0, 1, 8, 0, 0, 9, 2, 2, 0, 4, 0, 0, 208]",0.0009887218475341797
"[2, 1, 5, 8, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[0, 0, 10, 6, 11, 0, 0, 0, 3, 2, 5, 0, 0, 0, 0, 0, 8, 1, 2, 0, 16, 0, 8, 0, 6, 0, 5, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 256]",0.0
"[2, 2, 27, 1, 30, 3, 1, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 3, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[0, 0, 4, 11, 6, 2, 1, 0, 2, 0, 3, 0, 0, 0, 1, 0, 4, 6, 1, 0, 21, 0, 2, 2, 8, 0, 5, 1, 0, 0, 8, 3, 2, 0, 0, 0, 0, 74]",0.0
"[2, 4, 11, 0, 30, 9, 3, 0, 12, 0, 30, 8, 2, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 9, 3, 0, 12, 1, 30, 2, 7, 0, 9, 1, -3, 0, 1, 359]","[1, 2, 10, 7, 18, 5, 1, 0, 8, 2, 15, 3, 0, 0, 5, 0, 17, 4, 6, 0, 18, 0, 17, 4, 2, 0, 9, 0, 12, 1, 6, 2, 4, 0, 0, 0, 1, 223]",0.0009984970092773438
"[2, 2, 29, 3, 30, 11, 1, 0, 12, 0, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 0, 30, 9, 3, 0, 12, 2, 30, 2, 2, 0, 4, 1, -3, 0, 1, 899]","[1, 0, 8, 10, 7, 3, 4, 0, 3, 1, 6, 0, 0, 0, 0, 0, 6, 7, 3, 0, 23, 2, 3, 3, 14, 0, 5, 5, 0, 1, 11, 0, 4, 0, 3, 0, 0, 187]",0.0
"[2, 3, 24, 6, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 2, 7, 0, 9, 0, 30, 4, 5, 0, 9, 1, 30, 1, 4, 0, 5, 1, -3, 0, 1, 739]","[0, 1, 7, 11, 10, 5, 3, 0, 4, 1, 8, 0, 0, 0, 2, 0, 9, 7, 4, 0, 22, 1, 7, 4, 9, 0, 6, 2, 3, 2, 11, 0, 4, 0, 1, 0, 0, 147]",0.0
"[2, 2, 6, 3, 30, 9, 0, 0, 9, 6, 30, 4, 0, 0, 4, 0, 30, 3, 6, 0, 9, 2, 30, 7, 2, 0, 9, 1, 30, 1, 4, 0, 5, 0, 22, 0, 0, 199]","[0, 0, 10, 7, 11, 0, 0, 0, 3, 2, 6, 0, 0, 0, 0, 0, 8, 2, 2, 0, 17, 0, 8, 0, 6, 0, 5, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 249]",0.0009982585906982422
"[2, 2, 17, 3, 30, 4, 0, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 4, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 1, 2, 0, 3, 1, -3, 0, 1, 519]","[0, 2, 5, 10, 11, 4, 1, 0, 5, 1, 7, 1, 0, 0, 3, 0, 10, 4, 5, 0, 20, 0, 10, 3, 3, 0, 7, 0, 3, 1, 6, 4, 3, 0, 0, 0, 0, 96]",0.0
"[2, 4, 11, 2, 30, 2, 0, 0, 2, 0, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 0, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[0, 0, 8, 9, 8, 0, 0, 0, 3, 1, 4, 0, 0, 0, 1, 0, 6, 4, 2, 0, 20, 0, 5, 0, 8, 0, 5, 0, 0, 0, 3, 6, 1, 0, 0, 0, 0, 188]",0.0
"[2, 2, 25, 3, 30, 4, 0, 0, 4, 5, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 4, 30, 1, 3, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[0, 1, 5, 11, 6, 2, 1, 0, 2, 0, 3, 0, 0, 0, 1, 0, 5, 6, 2, 0, 21, 0, 3, 2, 7, 0, 5, 0, 0, 0, 7, 3, 2, 0, 0, 0, 0, 87]",0.0
"[2, 3, 23, 0, 30, 9, 3, 0, 12, 0, 30, 6, 0, 0, 6, 0, 30, 3, 9, 0, 12, 0, 30, 12, 0, 0, 12, 1, 30, 3, 2, 0, 5, 1, -3, 0, 1, 719]","[1, 1, 9, 10, 10, 4, 3, 0, 4, 1, 8, 0, 0, 0, 2, 0, 9, 7, 4, 0, 23, 1, 7, 4, 11, 0, 6, 3, 3, 1, 11, 0, 4, 0, 2, 0, 0, 203]",0.0010008811950683594
"[2, 0, 21, 4, 30, 2, 2, 0, 4, 1, 30, 1, 1, 0, 2, 0, 30, 0, 4, 0, 4, 4, 30, 4, 0, 0, 4, 1, 30, 0, 2, 0, 2, 1, -3, 0, 1, 639]","[0, 0, 8, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 20, 0, 0, 0, 13, 0, 3, 3, 0, 0, 3, 6, 0, 0, 0, 0, 0, 189]",0.0
"[2, 0, 11, 0, 30, 2, 0, 0, 2, 5, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 3, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[0, 0, 8, 9, 8, 0, 0, 0, 3, 1, 4, 0, 0, 0, 1, 0, 6, 4, 2, 0, 20, 0, 5, 0, 8, 0, 5, 0, 0, 0, 3, 6, 1, 0, 0, 0, 0, 188]",0.0
"[2, 2, 25, 4, 30, 11, 0, 0, 11, 9, 30, 4, 0, 0, 4, 0, 30, 2, 9, 0, 11, 3, 30, 6, 5, 0, 11, 0, 30, 3, 2, 0, 5, 1, -3, 0, 1, 779]","[1, 0, 10, 9, 5, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0, 2, 7, 0, 0, 22, 1, 0, 0, 16, 0, 3, 6, 0, 0, 7, 3, 1, 0, 2, 0, 0, 251]",0.0
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[0, 0, 3, 4, 17, 4, 0, 0, 7, 1, 13, 6, 0, 0, 5, 0, 18, 1, 3, 0, 11, 0, 17, 3, 0, 0, 9, 0, 13, 0, 1, 6, 1, 0, 0, 0, 0, 114]",0.0010001659393310547
"[2, 2, 39, 0, 30, 3, 10, 0, 13, 0, 30, 8, 0, 0, 8, 0, 30, 4, 9, 0, 13, 0, 30, 3, 10, 0, 13, 27, 30, 6, 0, 0, 6, 1, -3, 0, 1, 1199]","[2, 0, 6, 8, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 21, 1, 0, 0, 20, 0, 0, 8, 0, 0, 9, 1, 2, 0, 5, 0, 0, 129]",0.0
"[2, 0, 25, 3, 30, 4, 0, 0, 4, 7, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 1, 3, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[0, 0, 8, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 20, 0, 0, 0, 14, 0, 2, 4, 0, 0, 4, 6, 0, 0, 0, 0, 0, 178]",0.0
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[0, 0, 7, 5, 10, 0, 0, 0, 3, 2, 5, 1, 0, 0, 0, 0, 8, 0, 2, 0, 14, 0, 8, 0, 3, 0, 6, 0, 1, 0, 0, 9, 0, 0, 0, 0, 0, 217]",0.0
"[2, 4, 24, 4, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 1, 30, 5, 4, 0, 9, 1, 30, 2, 3, 0, 5, 1, -3, 0, 1, 739]","[0, 1, 7, 11, 10, 5, 3, 0, 4, 1, 8, 0, 0, 0, 2, 0, 9, 7, 4, 0, 22, 1, 7, 4, 9, 0, 6, 2, 3, 2, 11, 0, 4, 0, 1, 0, 0, 147]",0.00099945068359375
"[2, 0, 29, 2, 30, 11, 1, 0, 12, 3, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 1, 30, 8, 4, 0, 12, 2, 30, 3, 1, 0, 4, 1, -3, 0, 1, 899]","[1, 0, 8, 10, 7, 3, 4, 0, 3, 1, 6, 0, 0, 0, 0, 0, 6, 7, 3, 0, 23, 2, 3, 3, 14, 0, 5, 5, 0, 1, 11, 0, 4, 0, 3, 0, 0, 187]",0.0
"[2, 1, 5, 7, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 2, 30, 6, 3, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[0, 0, 10, 6, 11, 0, 0, 0, 3, 2, 5, 0, 0, 0, 0, 0, 8, 1, 2, 0, 16, 0, 8, 0, 6, 0, 5, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 256]",0.0
"[2, 4, 7, 1, 30, 1, 2, 0, 3, 1, 30, 0, 0, 0, 0, 0, 30, 0, 3, 0, 3, 6, 30, 1, 2, 0, 3, 2, 30, 0, 0, 0, 0, 0, 22, 0, 0, 219]","[0, 1, 3, 5, 19, 6, 1, 0, 10, 0, 16, 6, 0, 0, 7, 0, 20, 1, 7, 0, 15, 0, 20, 6, 0, 0, 11, 0, 15, 0, 4, 4, 3, 0, 0, 0, 0, 87]",0.0010025501251220703
"[2, 2, 16, 3, 30, 3, 5, 0, 8, 0, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 12, 30, 8, 0, 0, 8, 2, 30, 3, 0, 0, 3, 1, -3, 0, 1, 499]","[0, 0, 10, 9, 7, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 3, 6, 0, 0, 21, 0, 2, 0, 12, 0, 4, 4, 0, 0, 4, 6, 1, 0, 0, 0, 1, 240]",0.0
"[2, 3, 27, 2, 30, 4, 0, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 2, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[0, 0, 4, 11, 6, 2, 1, 0, 2, 0, 3, 0, 0, 0, 1, 0, 4, 6, 1, 0, 21, 0, 2, 2, 8, 0, 5, 1, 0, 0, 8, 3, 2, 0, 0, 0, 0, 74]",0.0
"[2, 4, 23, 0, 30, 10, 2, 0, 12, 0, 30, 6, 0, 0, 6, 0, 30, 3, 9, 0, 12, 1, 30, 12, 0, 0, 12, 1, 30, 3, 2, 0, 5, 1, -3, 0, 1, 719]","[1, 1, 9, 10, 10, 4, 3, 0, 4, 1, 8, 0, 0, 0, 2, 0, 9, 7, 4, 0, 23, 1, 7, 4, 11, 0, 6, 3, 3, 1, 11, 0, 4, 0, 2, 0, 0, 203]",0.0
"[2, 1, 15, 4, 30, 8, 0, 0, 8, 3, 30, 2, 0, 0, 2, 0, 30, 3, 5, 0, 8, 9, 30, 8, 0, 0, 8, 1, 30, 2, 2, 0, 4, 1, -3, 0, 1, 479]","[0, 2, 7, 9, 13, 4, 2, 0, 6, 1, 10, 2, 0, 0, 3, 0, 12, 5, 5, 0, 20, 0, 12, 3, 4, 0, 8, 0, 6, 2, 7, 3, 4, 0, 0, 0, 0, 157]",0.0
"[2, 1, 3, 2, 30, 10, 5, 0, 15, 0, 30, 9, 1, 0, 10, 0, 30, 2, 13, 0, 15, 3, 30, 15, 0, 0, 15, 0, 30, 2, 7, 0, 9, 0, 22, 0, 0, 119]","[0, 0, 11, 5, 14, 0, 0, 0, 4, 3, 9, 1, 0, 0, 0, 0, 12, 1, 3, 0, 14, 0, 12, 0, 4, 0, 6, 0, 5, 0, 0, 8, 0, 0, 0, 0, 1, 343]",0.0012712478637695312
"[2, 0, 39, 0, 30, 2, 2, 0, 4, 8, 30, 0, 0, 0, 0, 0, 30, 1, 3, 0, 4, 1, 30, 1, 3, 0, 4, 28, 30, 1, 0, 0, 1, 1, -3, 0, 1, 1179]","[2, 0, 4, 9, 1, 0, 3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 21, 1, 0, 1, 17, 0, 2, 6, 0, 1, 10, 0, 2, 0, 4, 0, 0, 77]",0.0
"[2, 4, 9, 0, 30, 2, 2, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 0, 30, 2, 0, 0, 2, 0, 22, 0, 0, 279]","[0, 1, 5, 6, 19, 6, 1, 0, 10, 1, 16, 6, 0, 0, 7, 0, 19, 2, 7, 0, 16, 0, 19, 5, 0, 0, 11, 0, 14, 1, 4, 4, 4, 0, 0, 0, 0, 120]",0.0
"[2, 0, 37, 1, 30, 2, 3, 0, 5, 4, 30, 2, 0, 0, 2, 0, 30, 0, 5, 0, 5, 0, 30, 0, 5, 0, 5, 10, 30, 3, 0, 0, 3, 1, -3, 0, 1, 1119]","[1, 0, 4, 8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 19, 0, 0, 0, 19, 0, 0, 7, 0, 0, 6, 3, 1, 0, 3, 0, 0, 77]",0.0010044574737548828
"[2, 0, 10, 2, 30, 9, 0, 0, 9, 3, 30, 6, 2, 0, 8, 0, 30, 3, 6, 0, 9, 3, 30, 9, 0, 0, 9, 0, 30, 1, 4, 0, 5, 1, -3, 0, 1, 319]","[0, 0, 10, 8, 9, 0, 0, 0, 3, 2, 5, 0, 0, 0, 0, 0, 6, 4, 2, 0, 19, 0, 6, 0, 9, 0, 5, 1, 0, 0, 2, 7, 1, 0, 0, 0, 1, 238]",0.0
