fact,explanation,gen_time
"[2, 0, 19, 0, 30, 12, 1, 0, 13, 7, 30, 8, 0, 0, 8, 1, 30, 2, 11, 0, 13, 1, 30, 8, 5, 0, 13, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 599]","[2, 2, 1, 1, 30, 5, 4, 0, 9, 3, 30, 6, 0, 0, 6, 0, 30, 0, 9, 0, 9, 1, 30, 3, 6, 0, 9, 0, 30, 0, 4, 0, 4, -3, 0, 1, 579, 59]",37.998122453689575
"[2, 0, 33, 2, 30, 11, 0, 0, 11, 3, 30, 10, 0, 0, 10, 0, 30, 4, 7, 0, 11, 3, 30, 10, 1, 0, 11, 0, 30, 2, 6, 0, 8, 1, -3, 0, 1, 1019]","[2, 2, 1, 1, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 1, 7, 0, 8, 0, 30, 6, 2, 0, 8, 0, 30, 0, 3, 0, 3, -3, 0, 1, 999, 59]",37.97995328903198
"[2, 1, 5, 8, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[2, 2, 1, 1, 30, 7, 2, 0, 9, 2, 30, 6, 0, 0, 6, 0, 30, 0, 9, 0, 9, 0, 30, 5, 4, 0, 9, 0, 30, 2, 2, 0, 4, 22, 0, 0, 159, 59]",37.67818307876587
"[2, 2, 27, 1, 30, 3, 1, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 3, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[2, 2, 1, 1, 30, 5, 4, 0, 9, 2, 30, 8, 0, 0, 8, 0, 30, 0, 9, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 3, 1, 0, 4, -3, 0, 1, 819, 59]",36.77441453933716
"[2, 4, 11, 0, 30, 9, 3, 0, 12, 0, 30, 8, 2, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 9, 3, 0, 12, 1, 30, 2, 7, 0, 9, 1, -3, 0, 1, 359]","[2, 2, 1, 1, 30, 10, 7, 0, 17, 0, 30, 10, 2, 0, 12, 0, 30, 4, 13, 0, 17, 0, 30, 9, 8, 0, 17, 0, 30, 2, 8, 0, 10, -3, 0, 1, 359, 59]",37.15662455558777
"[2, 2, 29, 3, 30, 11, 1, 0, 12, 0, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 0, 30, 9, 3, 0, 12, 2, 30, 2, 2, 0, 4, 1, -3, 0, 1, 899]","[2, 2, 1, 1, 30, 15, 2, 0, 17, 0, 30, 2, 2, 0, 4, 0, 30, 6, 11, 0, 17, 1, 30, 10, 7, 0, 17, 0, 30, 2, 3, 0, 5, -3, 0, 1, 899, 59]",37.49329662322998
"[2, 3, 24, 6, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 2, 7, 0, 9, 0, 30, 4, 5, 0, 9, 1, 30, 1, 4, 0, 5, 1, -3, 0, 1, 739]","[2, 2, 1, 3, 30, 10, 4, 0, 14, 2, 30, 4, 0, 0, 4, 0, 30, 2, 12, 0, 14, 0, 30, 5, 9, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 739, 59]",37.18623685836792
"[2, 2, 6, 3, 30, 9, 0, 0, 9, 6, 30, 4, 0, 0, 4, 0, 30, 3, 6, 0, 9, 2, 30, 7, 2, 0, 9, 1, 30, 1, 4, 0, 5, 0, 22, 0, 0, 199]","[2, 3, 1, 1, 30, 13, 1, 0, 14, 2, 30, 6, 0, 0, 6, 0, 30, 3, 11, 0, 14, 0, 30, 9, 5, 0, 14, 0, 30, 1, 5, 0, 6, 22, 0, 0, 199, 59]",38.61550211906433
"[2, 2, 17, 3, 30, 4, 0, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 4, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 1, 2, 0, 3, 1, -3, 0, 1, 519]","[2, 2, 1, 1, 30, 8, 1, 0, 9, 2, 30, 4, 2, 0, 6, 0, 30, 0, 9, 0, 9, 0, 30, 8, 1, 0, 9, 0, 30, 1, 3, 0, 4, -3, 0, 1, 519, 59]",37.540130376815796
"[2, 4, 11, 2, 30, 2, 0, 0, 2, 0, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 0, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 1, 30, 5, 2, 0, 7, 0, 30, 2, 0, 0, 2, 0, 30, 1, 6, 0, 7, 0, 30, 2, 5, 0, 7, 0, 30, 0, 2, 0, 2, -3, 0, 1, 339, 59]",37.104562282562256
