fact,explanation,action,gen_time
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.008005619049072266
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0011162757873535156
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.16156825, 0.99863833, 0.056022186, -0.028539695, 0.003537489, -0.0063447356, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.03373413, 0.13686627, -0.03314495, 0.016122164, -0.038044553, -0.030962277, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.18622771, 0.9851735, 0.036362726, -0.0013589062, 0.01063904, -0.0043872097, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.0010281563, 0.13194616, 0.014911279, -0.0311666, 0.011367064, -0.05179163, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0010101795196533203
"[-0.3151576, 0.66251224, -0.04771901, -0.01561444, -0.03598184, 0.03667664, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.04813986, 0.18935767, 0.0043962756, -0.05454157, -0.038900312, 0.08509525, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.077738285, 0.97450405, 0.0530248, -0.03125544, 0.046686817, -0.02208009, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.0046569826, 1.327758, -0.013103195, -0.024692653, -0.011998422, 0.035330873, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0009970664978027344
"[0.53993905, 0.9941693, -0.026107918, -0.04629401, 0.0045501376, -0.016125822, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.029363727, 0.060958896, 0.038775608, 0.0058875917, -0.010983357, -0.040131714, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.21480647, 0.5986782, 0.017575886, -0.0005539362, -0.00025985696, 0.009796912, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.040008735, 0.079246126, 0.030605962, 0.008333608, -0.02343434, -0.019112576, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.17846327, 0.77658594, -0.04735639, -0.017969651, -0.002664102, -0.0007776889, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0009984970092773438
"[0.008642292, 0.21197385, 0.024614848, -0.028018806, 0.022031693, 0.015270618, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.029444695, 0.17026077, -0.0002911442, -0.041025274, -0.019217052, 0.0276474, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.4999928, 0.44337174, -0.18901433, -0.0013772525, -0.0953159, -0.04789517, 0.0, 0.0]","[0, 2, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.08830051, 0.7341531, 0.05933115, -0.0508821, 0.010289931, 0.03566139, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.0022343635, 0.24721828, 0.00786929, -0.01333956, 0.010925011, -0.0030363142, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.17346525, 0.16695064, 0.074323446, -0.0025484369, 0.005635164, 0.011212869, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0009996891021728516
"[0.030888844, 0.08794807, 0.050058804, -0.010933149, -0.01836071, 0.026338097, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.02409544, 0.18667546, 0.0023808847, -0.0050734775, -0.02151011, 0.06756497, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",3,0.0
"[0.042901706, 0.67244685, 0.07793455, -0.07884281, 0.005342523, -0.022255361, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.17679071, 0.8994912, -0.08168129, -0.017216654, -0.19479172, -0.24496868, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.34858775, 0.5398838, 0.072475135, -0.13307689, 0.03238898, -0.0712389, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0010006427764892578
"[-0.13007832, 0.449535, 0.044837963, -0.030712727, 0.007483849, 0.027442733, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.43052396, 0.16446097, 0.01564327, 0.11578021, 0.3019563, 0.15427049, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.35168284, 0.43178424, 0.05097016, -0.12480966, 0.01675677, 0.0056234165, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[0.48130932, 0.7314776, -0.025312204, -0.050990064, 0.011833252, -0.014757956, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0010004043579101562
"[0.23527709, 1.1978022, 0.12623122, -0.13767427, 0.039037142, 0.009904007, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.038312625, 0.99434483, -0.13600188, -0.1291266, 1.1561488e-06, 0.0043554315, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.28267956, 1.2273281, 0.5223378, 0.15043537, 0.19393031, 0.14859504, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.33535725, 0.2657931, -0.040405363, -0.052443538, 0.003710028, 0.03385371, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
