fact,explanation,action,gen_time
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0.008445549, 1.3515223, 0.13819185, -0.38473842, -0.013845006, -0.052487392, 0.0, 0.0]",0,8.095027685165405
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0.03390751, 1.377378, 0.554098, -0.2960847, -0.020817949, 0.020441292, 0.0, 0.0]",0,8.095027685165405
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0.017317582, 1.3601639, 0.31377536, -0.33201364, -0.021558028, -0.05892353, 0.0, 0.0]",0,8.095027685165405
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.021236325, 1.4343071, -0.33964914, 0.11177937, 0.019543452, -0.0038695005, 0.0, 0.0]",2,6.067572593688965
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[0.03926115, 1.3703094, 0.63369393, -0.3561488, -0.025615154, 0.013358976, 0.0, 0.0]",2,6.067572593688965
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.040790368, 1.3435221, -0.6690978, -0.53171813, 0.03421661, 0.063367695, 0.0, 0.0]",2,6.067572593688965
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.03513174, 1.4349018, -0.5771462, 0.11135514, 0.03642728, 0.062452108, 0.0, 0.0]",2,6.067572593688965
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[0.041716196, 1.357459, 0.6786569, -0.46259364, -0.029243536, -0.010493631, 0.0, 0.0]",2,6.173767566680908
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.039958574, 1.3426088, -0.64972436, -0.57267106, 0.03765709, 0.03424292, 0.0, 0.0]",2,6.173767566680908
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.014289856, 1.4040343, -0.2369611, -0.030868206, 0.010551186, -0.0017866904, 0.0, 0.0]",2,6.173767566680908
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.04401388, 1.3455049, -0.7156664, -0.52836007, 0.034898087, 0.07249625, 0.0, 0.0]",2,6.173767566680908
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.024016093, 1.4576489, -0.40256944, 0.29088274, 0.02433341, 0.059235204, 0.0, 0.0]",2,6.173767566680908
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0.01972866, 1.3408403, 0.33736825, -0.47474247, -0.012368351, -0.029368203, 0.0, 0.0]",0,5.445028066635132
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0.009841919, 1.4043412, 0.15950486, -0.08918708, -0.00056475564, 0.0072743706, 0.0, 0.0]",0,5.445028066635132
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0.013887787, 1.3711617, 0.24247661, -0.24882346, -0.013734396, -0.038366593, 0.0, 0.0]",0,5.445028066635132
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[-0.003910446, 1.4567908, -0.054679025, 0.27805662, 0.0012337369, -0.043867696, 0.0, 0.0]",2,5.4419355392456055
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[0.029042339, 1.4110036, 0.46488017, -0.05312101, -0.00920654, 0.062907666, 0.0, 0.0]",2,5.4419355392456055
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[0.039125632, 1.3710403, 0.6352836, -0.35734117, -0.023322972, 0.01514052, 0.0, 0.0]",2,5.4419355392456055
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[0.044163037, 1.3630956, 0.72358364, -0.42041928, -0.041464668, -0.059416503, 0.0, 0.0]",2,5.4419355392456055
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[0.008191776, 1.4575233, 0.12365214, 0.277974, -0.009545236, 0.026352828, 0.0, 0.0]",2,5.4419355392456055
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[0.01187973, 1.4635844, 0.1876859, 0.33024168, 0.0014083291, 0.052319936, 0.0, 0.0]",2,5.4419355392456055
"[-0.16156825, 0.99863833, 0.056022186, -0.028539695, 0.003537489, -0.0063447356, 0.0, 0.0]","[0.017155457, 1.4448646, 0.2803301, 0.19461857, -0.004659477, 0.009340408, 0.0, 0.0]",0,5.780293226242065
"[-0.16156825, 0.99863833, 0.056022186, -0.028539695, 0.003537489, -0.0063447356, 0.0, 0.0]","[-0.017478753, 1.3479172, -0.28015506, -0.43278566, 0.0111126285, 0.02138796, 0.0, 0.0]",0,5.780293226242065
"[-0.16156825, 0.99863833, 0.056022186, -0.028539695, 0.003537489, -0.0063447356, 0.0, 0.0]","[0.044048022, 1.3325381, 0.7178171, -0.6018679, -0.03773793, -0.109712936, 0.0, 0.0]",0,5.780293226242065
"[-0.16156825, 0.99863833, 0.056022186, -0.028539695, 0.003537489, -0.0063447356, 0.0, 0.0]","[0.020798683, 1.3470569, 0.36789876, -0.4541376, -0.019142631, -0.04714127, 0.0, 0.0]",0,5.780293226242065
"[0.03373413, 0.13686627, -0.03314495, 0.016122164, -0.038044553, -0.030962277, 0.0, 0.0]","[-0.0425869, 1.4596802, -0.6953181, 0.29509312, 0.04081193, 0.04961125, 0.0, 0.0]",0,5.814859628677368
"[0.03373413, 0.13686627, -0.03314495, 0.016122164, -0.038044553, -0.030962277, 0.0, 0.0]","[0.0029342652, 1.3497276, 0.050155867, -0.4034597, 0.001226855, 0.005624611, 0.0, 0.0]",0,5.814859628677368
"[0.03373413, 0.13686627, -0.03314495, 0.016122164, -0.038044553, -0.030962277, 0.0, 0.0]","[0.029489707, 1.3849776, 0.4918321, -0.17873934, -0.00800538, 0.023166314, 0.0, 0.0]",0,5.814859628677368
"[0.03373413, 0.13686627, -0.03314495, 0.016122164, -0.038044553, -0.030962277, 0.0, 0.0]","[0.007435703, 1.3838333, 0.12276174, -0.20413043, -0.003081419, 0.025845062, 0.0, 0.0]",0,5.814859628677368
"[-0.18622771, 0.9851735, 0.036362726, -0.0013589062, 0.01063904, -0.0043872097, 0.0, 0.0]","[0.0115826605, 1.3593951, 0.19429874, -0.3618198, -0.013497622, -0.046994943, 0.0, 0.0]",0,6.444783449172974
