fact,explanation,action,gen_time
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.0049999235, 1.4295017, -0.25446492, 0.42432553, 0.0055363835, 0.053075474, 0.0, 0.0]",2,62.31719398498535
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[0.008463669, 1.4200499, 0.42592382, 0.20886946, -0.009992318, -0.10136479, 0.0, 0.0]",2,67.87971520423889
"[-0.16156825, 0.99863833, 0.056022186, -0.028539695, 0.003537489, -0.0063447356, 0.0, 0.0]","[0.0034526824, 1.4080646, 0.16921355, -0.076277524, -0.0022171733, -0.0036319904, 0.0, 0.0]",0,4.470945835113525
"[-0.18622771, 0.9851735, 0.036362726, -0.0013589062, 0.01063904, -0.0043872097, 0.0, 0.0]","[0.014961148, 1.3873022, 0.7502786, -0.5377227, -0.015099334, -0.12778938, 0.0, 0.0]",0,5.512435674667358
"[-0.3151576, 0.66251224, -0.04771901, -0.01561444, -0.03598184, 0.03667664, 0.0, 0.0]","[-0.0143789295, 1.4114765, -0.7328072, -0.0005097319, 0.018278547, 0.1997076, 0.0, 0.0]",0,23.89348816871643
"[0.077738285, 0.97450405, 0.0530248, -0.03125544, 0.046686817, -0.02208009, 0.0, 0.0]","[-0.015725994, 1.4194895, -0.5212375, 0.10075653, 0.015605926, 0.07015975, 0.0, 0.0]",2,27.879963874816895
"[0.26819038, 1.4780716, 0.3719384, 0.38904408, 0.4024115, 0.28218594, 0.0, 0.0]","[-0.007484627, 1.4083698, -0.37909415, -0.036515746, 0.008534658, 0.08398095, 0.0, 0.0]",2,67.57933163642883
"[-0.0046569826, 1.327758, -0.013103195, -0.024692653, -0.011998422, 0.035330873, 0.0, 0.0]","[-0.008973217, 1.3884127, -0.45192486, -0.49955675, 0.010557359, 0.10655304, 0.0, 0.0]",2,52.71382188796997
"[0.53993905, 0.9941693, -0.026107918, -0.04629401, 0.0045501376, -0.016125822, 0.0, 0.0]","[-0.02075262, 1.43208, -0.69672346, 0.28697005, 0.02528825, 0.15315859, 0.0, 0.0]",2,47.49181056022644
"[0.21480647, 0.5986782, 0.017575886, -0.0005539362, -0.00025985696, 0.009796912, 0.0, 0.0]","[-0.006829262, 1.4167461, -0.34539044, 0.11661403, 0.00783448, 0.07743255, 0.0, 0.0]",0,2.6601319313049316
"[0.17846327, 0.77658594, -0.04735639, -0.017969651, -0.002664102, -0.0007776889, 0.0, 0.0]","[0.004086113, 1.4202087, 0.20275657, 0.22264387, -0.0052074655, -0.05592872, 0.0, 0.0]",2,45.57222127914429
"[-0.08830051, 0.7341531, 0.05933115, -0.0508821, 0.010289931, 0.03566139, 0.0, 0.0]","[-0.0076324465, 1.3948196, -0.37939042, -0.3707651, 0.0066314386, 0.043037027, 0.0, 0.0]",2,45.49447321891785
"[0.18678255, 1.3682625, 0.3743834, -0.22624037, 0.101778515, -0.022174977, 0.0, 0.0]","[-0.012716961, 1.385167, -0.6373024, -0.5852019, 0.012702501, 0.10566541, 0.0, 0.0]",2,25.662079572677612
"[0.042901706, 0.67244685, 0.07793455, -0.07884281, 0.005342523, -0.022255361, 0.0, 0.0]","[0.009054279, 1.427155, 0.4642887, 0.38176265, -0.0095461095, -0.08780325, 0.0, 0.0]",2,65.39728784561157
"[0.17679071, 0.8994912, -0.08168129, -0.017216654, -0.19479172, -0.24496868, 0.0, 0.0]","[0.0020379066, 1.4321222, 0.10893645, 0.45853177, -0.0042144186, -0.06172378, 0.0, 0.0]",3,100.78862833976746
"[-0.34858775, 0.5398838, 0.072475135, -0.13307689, 0.03238898, -0.0712389, 0.0, 0.0]","[-0.011624241, 1.4110115, -0.59079933, 0.020788448, 0.012976513, 0.12546371, 0.0, 0.0]",2,35.36044454574585
"[0.48130932, 0.7314776, -0.025312204, -0.050990064, 0.011833252, -0.014757956, 0.0, 0.0]","[0.0051690103, 1.4117097, 0.26789898, 0.036800995, -0.005065919, -0.043244306, 0.0, 0.0]",2,73.72731304168701
