fact,explanation,action,gen_time
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0.00464592, 1.3864269, 0.07894318, -0.19828647, 0.0030865017, 0.043206207, 0.0, 0.0]",0,11.092227935791016
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0.005762863, 1.367556, 0.08755049, -0.30901116, -0.0020552336, 0.023997681, 0.0, 0.0]",0,11.092227935791016
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[-0.0009464264, 1.34086, 0.003441554, -0.48442444, 0.0044253394, 0.03503695, 0.0, 0.0]",0,11.092227935791016
"[0.024094868, 0.10236949, 0.04989825, -0.0051997975, -0.0042847693, 0.06445451, 0.0, 0.0]","[0.04096327, 1.3954763, 0.67067176, -0.17258818, -0.025578303, -0.0042253407, 0.0, 0.0]",0,11.092227935791016
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.0048565865, 1.4410566, -0.06882326, 0.25550753, -0.00044908558, -0.028701926, 0.0, 0.0]",2,10.904106378555298
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.042657565, 1.3591992, -0.71513444, -0.44969988, 0.041088395, 0.12519732, 0.0, 0.0]",2,10.904106378555298
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[0.0027057647, 1.420447, 0.06466817, 0.025008922, 0.0031208773, 0.0012331933, 0.0, 0.0]",2,10.904106378555298
"[0.2584648, 0.7107219, -0.071825005, 0.016879743, 0.0025567862, 0.021269498, 0.0, 0.0]","[-0.040821075, 1.3955214, -0.6662073, -0.18011871, 0.03621459, 0.038715012, 0.0, 0.0]",2,10.904106378555298
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[0.016297722, 1.4220966, 0.27528614, 0.09233991, -0.015327914, -0.05649491, 0.0, 0.0]",2,9.828628540039062
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.045900345, 1.4677836, -0.74814785, 0.3611837, 0.037573848, 0.041473836, 0.0, 0.0]",2,9.828628540039062
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.03658285, 1.4329334, -0.59477365, 0.09741437, 0.033222683, 0.027585402, 0.0, 0.0]",2,9.828628540039062
"[0.14080314, 0.7257185, 0.049244925, -0.0280078, 0.010561613, -0.0054917433, 0.0, 0.0]","[-0.009909725, 1.4689102, -0.14915034, 0.36278954, -0.0055313166, -0.07898641, 0.0, 0.0]",2,9.828628540039062
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0.0413661, 1.4059752, 0.6716989, -0.10293738, -0.027914703, -0.0024056009, 0.0, 0.0]",0,10.781604766845703
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0.007941914, 1.4289235, 0.1302691, 0.06651345, -0.004799894, -0.004300222, 0.0, 0.0]",0,10.781604766845703
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[0.039812185, 1.3726676, 0.66998833, -0.29995936, -0.028065866, -0.028103376, 0.0, 0.0]",0,10.781604766845703
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[-0.045971394, 1.4688427, -0.7468127, 0.36284631, 0.03237284, 0.0075145327, 0.0, 0.0]",0,10.781604766845703
"[-0.0052016256, -0.00061103347, 1.8308772e-06, -8.7583774e-10, -0.0021904132, -5.9395643e-07, 1.0, 1.0]","[-0.009882259, 1.4026055, -0.15024272, -0.12794702, 0.0074394774, -0.038416985, 0.0, 0.0]",0,10.781604766845703
"[-0.24598837, 0.3962313, 0.060923643, -0.07133873, 0.011326363, -0.00089905935, 0.0, 0.0]","[-0.04277792, 1.4104197, -0.69691503, -0.06514928, 0.02568503, -0.006363838, 0.0, 0.0]",2,10.79870891571045
